Stage (ft),Grand Sum,SA + FB,NA + BRB,NA + SA,South Arm Sum,North Arm Sum,Stage (m),North Arm,NA GSLM Ponds
4182.5,1792612437,1127094195,665518242.1,1792612437,1127094195,665518242.1,1274.825959,665518242.1,0
4183,1846735814,1152413385,694322429.5,1846735814,1152413385,694322429.5,1274.978359,694322429.5,0
4183.5,1884093347,1172646021,711447326.7,1884093347,1172646021,711447326.7,1275.130759,711447326.7,0
4184,1921923343,1193429174,728494169.4,1921923343,1193429174,728494169.4,1275.283159,728494169.4,0
4184.5,1962998403,1215840019,747158384.5,1962998402,1215840019,747158383.1,1275.435559,747158383.1,0
4185,2004512410,1239875577,764636832.8,2004512369,1239875577,764636791.9,1275.587959,764636791.9,0
4185.5,2047555674,1264438381,783117292.5,2047555474,1264438381,783117093,1275.740359,783117093,0
4186,2086295625,1285970080,800325545.6,2086294885,1285970080,800324805.4,1275.892759,800324805.4,0
4186.5,2125323531,1306001573,819321957.5,2125321633,1306001573,819320059.3,1276.045159,819320059.3,0
4187,2162316742,1325656103,836660638.3,2162312980,1325656103,836656876.4,1276.197559,836656876.4,0
4187.5,2207510300,1355461833,852048467.6,2207503720,1355461833,852041887.3,1276.349959,852041887.3,0
4188,2246048700,1379308513,866740186.9,2246039498,1379308513,866730984.7,1276.502359,866730984.7,0
4188.5,2284749325,1405067243,879682082.3,2284738070,1405067243,879670827.8,1276.654759,879670827.8,0
4189,2321300155,1428269014,893031141.7,2321287173,1428269014,893018159.7,1276.807159,893018159.7,0
4189.5,2363688693,1457037987,906650706.2,2363674221,1457037987,906636233.8,1276.959559,906636233.8,0
4190,2400258124,1479575618,920682506.4,2400242300,1479575618,920666682.2,1277.111959,920666682.2,0
