Date,Elevation (ft)
1/22/2023,4190
1/23/2023,4190.1
1/24/2023,4189.9
1/25/2023,4189.9
1/26/2023,4189.9
1/27/2023,4189.9
1/28/2023,4190
1/29/2023,4190.2
1/30/2023,4190.1
1/31/2023,
2/1/2023,4190
2/2/2023,4190
2/3/2023,4190
2/4/2023,4190
2/5/2023,4190
2/6/2023,4190
2/7/2023,4190
2/8/2023,4190.1
2/9/2023,4190.1
2/10/2023,4190.1
2/11/2023,4190.1
2/12/2023,4190.1
2/13/2023,4190.1
2/14/2023,4190.3
2/15/2023,4190.4
2/16/2023,4190.1
2/17/2023,4190.1
2/18/2023,4190.1
2/19/2023,4190.1
2/20/2023,4190.1
2/21/2023,4190.2
2/22/2023,4190.5
2/23/2023,4190.1
2/24/2023,4190.2
2/25/2023,4190.2
2/26/2023,4190.2
2/27/2023,4190
2/28/2023,4190.1
3/1/2023,4190.3
3/2/2023,4190.3
3/3/2023,4190.3
3/4/2023,4190.3
3/5/2023,4190.4
3/6/2023,4190.4
3/7/2023,4190.4
3/8/2023,4190.4
3/9/2023,4190.5
3/10/2023,4190.4
3/11/2023,4190.5
3/12/2023,4190.5
3/13/2023,4190.6
3/14/2023,4190.5
3/15/2023,4190.8
3/16/2023,4190.9
3/17/2023,4190.7
3/18/2023,4190.7
3/19/2023,4190.7
3/20/2023,4190.8
3/21/2023,4190.8
3/22/2023,4191
3/23/2023,4191
3/24/2023,4191.3
3/25/2023,4191.2
3/26/2023,4191.2
3/27/2023,4191.2
3/28/2023,4191.1
3/29/2023,4191.2
3/30/2023,4191.4
3/31/2023,4191.3
4/1/2023,4191.3
4/2/2023,4191.5
4/3/2023,4191.8
4/4/2023,4191.7
4/5/2023,4191.6
4/6/2023,4191.6
4/7/2023,4191.7
4/8/2023,4191.7
4/9/2023,4191.8
4/10/2023,4191.8
4/11/2023,4191.8
4/12/2023,4191.9
4/13/2023,4192
4/14/2023,4192
4/15/2023,4192
4/16/2023,4192
4/17/2023,4192.1
4/18/2023,4192.4
4/19/2023,4192.2
4/20/2023,4192.2
4/21/2023,4192.2
4/22/2023,4192.2
4/23/2023,4192.3
4/24/2023,4192.4
4/25/2023,4192.4
4/26/2023,4192.4
4/27/2023,4192.5
4/28/2023,4192.5
4/29/2023,4192.5
4/30/2023,4192.5
5/1/2023,4192.6
5/2/2023,4192.6
5/3/2023,4192.6
5/4/2023,4192.6
5/5/2023,4192.5
5/6/2023,4192.7
5/7/2023,4192.7
5/8/2023,4192.8
5/9/2023,4192.9
5/10/2023,4193
5/11/2023,4192.9
5/12/2023,4193
5/13/2023,4193
5/14/2023,4192.9
5/15/2023,4193.1
5/16/2023,4193.1
5/17/2023,4193.2
5/18/2023,4193.3
5/19/2023,4193.3
5/20/2023,4193.4
5/21/2023,4193.4
5/22/2023,4193.4
5/23/2023,4193.4
5/24/2023,4193.6
5/25/2023,4193.6
5/26/2023,4193.5
5/27/2023,4193.6
5/28/2023,4193.7
5/29/2023,4193.7
